,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAT AND POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Vitamin B12,Folate ,Vitamin E,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,µg,DFE,mg,,,,,,,,,,,,,,,,
"Tenderloin, lean,  roasted",75g,75,108,452,21,0,2,0.8,0.9,0.4,52,1.0,44,302,23,184,2,0.1,0.41,5,0.2,,,,,,,,,,,,,,,,
LAMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American, fresh, foreshank, lean + fat, cooked",75g,75,182,762,21,0,10,4.2,4.3,0.7,80,1.6,54,193,17,125,0,0.2,1.71,13,0.1,,,,,,,,,,,,,,,,
"American, fresh, ground, cooked",75g,75,212,888,19,0,15,6.1,6.2,1.1,73,1.3,61,254,18,151,0,0.6,1.96,14,0.1,,,,,,,,,,,,,,,,
"American, fresh, leg, whole, lean + fat, cooked",75g,75,194,809,19,0,12,5.2,5.2,0.9,70,1.5,50,235,18,143,0,0.5,1.94,15,0.1,,,,,,,,,,,,,,,,
"American, fresh, loin, lean + fat, cooked",75g,75,232,969,17,0,18,7.7,7.3,1.4,71,1.6,48,185,17,135,0,0.5,1.66,14,0.1,,,,,,,,,,,,,,,,
"American, fresh, rib, lean + fat, cooked",75g,75,269,1126,16,0,22,9.6,9.4,1.6,73,1.2,55,203,15,125,0,0.5,1.67,11,0.1,,,,,,,,,,,,,,,,
"American, fresh, shoulder, whole, lean+ fat, cooked",75g,75,207,866,17,0,15,6.3,6.1,1.2,69,1.5,50,188,17,138,0,0.5,1.98,16,0.1,,,,,,,,,,,,,,,,
"New Zealand, frozen, composite, lean + fat, cooked",75g,75,203,847,19,0,13,6.6,5.2,0.7,80,1.6,35,121,14,158,0,0.5,2.03,1,0.1,,,,,,,,,,,,,,,,
"New Zealand, frozen, foreshank, lean + fat, braised",75g,75,194,809,20,0,12,5.9,4.6,0.5,77,1.6,35,89,11,131,0,0.3,1.83,1,0.1,,,,,,,,,, ,,,,,,
"New Zealand, frozen, leg, whole, lean + fat, roasted",75g,75,176,734,19,0,10,5.1,4.1,0.5,76,1.6,33,128,15,166,0,0.5,1.96,1,0.1,,,,,,,,,,,,,,,,
"New Zealand, frozen, loin, lean + fat, broiled",75g,75,222,929,18,0,16,7.9,6.2,0.7,85,1.6,38,123,15,160,0,0.5,1.91,1,0.1,,,,,,,,,,,,,,,,
"New Zealand, frozen, rib, lean + fat, roasted",75g,75,238,995,15,0,19,9.6,7.4,0.9,74,1.3,33,96,11,130,0,0.4,1.74,1,0.1,,,,,,,,,,,,,,,,
"New Zealand, frozen, shoulder, whole, lean + fat, braised",75g,75,257,1073,22,0,18,8.6,7.0,0.9,92,1.6,39,113,14,150,0,0.4,2.60,1,0.2,,,,,,,,,,,,,,,,
POULTRY AND GAME BIRDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken, broiler, breast, meat and skin, roasted",75g,75,142,593,19,0,7,1.8,2.6,1.4,63,0.4,45,241,20,,20,0.2,0.24,3,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, breast, meat, roasted",75g,75,119,499,25,0,2,0.4,0.5,0.3,64,0.4,56,301,22,,5,0.2,0.26,3,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, drumstick, meat and skin, roasted",75g,75,161,671,16,0,10,2.8,3.8,2.3,68,1.0,68,172,17,131,23,0.2,0.24,6,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, drumstick, meat, roasted",75g,75,127,530,19,0,5,1.4,1.7,1.3,70,1.0,71,185,18,,14,0.2,0.26,7,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, flesh and skin, roasted",75g,75,179,749,20,0,10,2.8,4.0,2.2,66,0.9,62,167,17,137,35,0.2,0.23,4,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, flesh, roasted",75g,75,143,596,22,0,6,1.5,2.0,1.3,67,0.9,65,182,19,146,12,0.2,0.25,5,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, thigh, meat and skin, roasted",75g,75,187,781,15,0,14,3.8,5.4,3.0,70,1.0,63,167,17,131,36,0.2,0.22,5,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, thigh, meat, roasted",75g,75,127,530,19,0,5,1.5,2.0,1.2,71,1.0,66,179,18,,15,0.1,0.23,6,0.2,,,,,,,,,,,,,,,,
"Chicken, broiler, wing, meat and skin,  roasted",75g,75,218,910,20,0,15,4.1,5.7,3.1,63,1.0,62,138,14,113,35,0.5,0.22,2,0.2,,,,,,,,,,,,,,,,
"Chicken, cornish game hens, flesh and skin, roasted",75g,75,195,815,17,0,14,3.8,6.0,2.7,98,0.7,48,184,14,110,24,0.3,0.21,2,0.3,,,,,,,,,,,,,,,,
"Chicken, ground, lean, cooked",75g,75,153,640,16,0,9,,,,59,1.2,51,212,,,9,0.2,,,,,,,,,,,,,,,,,,,
"Duck, domesticated, roasted",75g,75,253,1057,14,0,21,7.3,9.7,2.7,63,2.0,44,153,12,117,47,4.1,0.23,5,0.5,,,,,,,,,,,,,,,,
"Duck, wild, cooked",75g,75,128,533,23,0,3,1.0,1.4,0.4,,7.4,40,197,23,187,12,,,,,,,,,,,,,,,,,,,,
"Goose, domesticated, flesh, roasted",75g,75,179,746,22,0,10,3.4,3.3,1.2,72,2.2,57,291,19,232,9,0.1,0.37,9,,,,,,,,,,,,,,,,,
"Goose, wild (Canada goose), flesh, roasted",75g,75,150,627,23,0,6,0.7,1.9,1.1,72,7.4,57,291,19,232,9,0.1,0.37,9,,,,,,,,,,,,,,,,,
"Ptarmigan, flesh cooked",75g,75,116,483,23,0,2,,,,,6.5,37,247,27,190,,,,,,,,,,,,,,,,,,,,,
"Spruce grouse, flesh, cooked",75g,75,99,414,20,0,2,,,,,3.3,38,204,25,152,,,,,,,,,,,,,,,,,,,,,
"Turkey, dark meat and skin, roasted",75g,75,162,677,17,0,9,2.0,2.6,1.4,82,1.7,60,207,17,148,0,0.5,0.28,7,,,,,,,,,,,,,,,,,
"Turkey, dark meat, roasted",75g,75,139,581,19,0,6,1.6,2.0,1.0,82,1.7,62,220,17,154,0,0.2,0.29,8,,,,,,,,,,,,,,,,,
"Turkey, ground, cooked",75g,75,176,737,21,0,10,2.5,3.7,2.4,77,1.4,80,203,18,147,0,0.8,0.25,5,0.3,,,,,,,,,,,,,,,,
"Turkey, light meat and skin, roasted",75g,75,143,599,21,0,4,0.9,1.2,0.6,58,1.1,50,215,20,157,0,0.2,0.27,5,,,,,,,,,,,,,,,,,
"Turkey, light meat, roasted",75g,75,116,483,21,0,2,0.7,0.9,0.5,55,1.0,51,231,21,165,0,0.2,0.29,5,,,,,,,,,,,,,,,,,
GAME MEATS AND OTHER MEATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bear, simmered",75g,75,194,812,24,0,10,2.7,4.2,1.8,74,8.0,53,197,17,128,14,,1.85,5,0.4,,,,,,,,,,,,,,,,
"Beaver, roasted",75g,75,95,398,20,0,1,1.6,1.4,1.0,88,3.6,68,255,17,135,,,6.23,8,0.3,,,,,,,,,,,,,,,,
"Bison, roasted",75g,75,107,449,21,0,2,0.7,0.7,0.2,62,2.6,43,271,20,157,0,,2.15,6,0.3,,,,,,,,,,,,,,,,
"Caribou (reindeer), roasted",75g,75,122,512,24,0,2,1.9,1.4,0.9,82,4.2,35,268,23,168,4,0.2,4.98,4,0.3,,,,,,,,,,,,,,,,
"Deer (venison), roasted",75g,75,119,496,23,0,2,0.9,0.7,0.5,84,3.4,41,251,18,170,0,,,,,,,,,,,,,,,,,,,,
"Emu, inside drum, broiled",75g,75,117,489,24,0,2,0.5,0.6,0.3,68,5.5,89,234,25,230,2,,1.80,8,0.2,,,,,,,,,,,,,,,,
"Goat, roasted",75g,75,107,449,20,0,2,0.7,1.0,0.2,56,2.8,65,304,0,151,0,,0.89,4,0.3,,,,,,,,,,,,,,,,
"Horsemeat, roasted",75g,75,131,549,21,0,5,1.4,1.6,0.6,51,3.8,41,284,19,185,0,,2.37,,,,,,,,,,,,,,,,,,
"Moose, roasted",75g,75,121,505,26,0,1,0.2,0.2,0.2,59,3.8,38,375,23,188,0,,4.73,3,0.2,,,,,,,,,,,,,,,,
"Narwhal skin (muktuk), raw",90g,90,119,497,20,0,4,0.6,2.7,0.3,,0.3,91,332,14,146,126,,,,,,,,,,,,,,,,,,,,
"Ostrich, inside strip, cooked",75g,75,123,515,22,0,3,1.3,1.3,0.6,73,3.6,55,275,20,190,0,,4.83,12,0.2,,,,,,,,,,,,,,,,
"Rabbit, composite cuts, roasted",75g,75,148,618,22,0,6,1.8,1.6,1.2,62,1.7,35,287,16,197,0,0.1,6.23,8,,,,,,,,,,,,,,,,,
"Seal meat, boiled",75g,75,129,539,26,0,2,0.8,1.6,0.3,133,17.6,33,212,20,139,11,,,,,,,,,,,,,,,,,,,,
LIVER AND ORGAN MEATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heart, beef, simmered",75g,75,124,518,21,tr,4,1.1,0.8,0.7,159,4.8,44,164,16,191,0,1.3,8.10,4,0.2,,,,,,,,,,,,,,,,
"Kidney, beef simmered",75g,75,119,496,20,0,3,0.8,0.5,0.6,537,4.4,71,101,9,228,0,1.3,18.68,62,0.1,,,,,,,,,,,,,,,,
"Liver, beef, pan-fried",75g,75,131,549,20,4,4,1.1,0.5,0.4,286,4.6,58,263,17,364,5808,0.5,62.35,195,0.4,,,,,,,,,,,,,,,,
"Liver, chicken, pan-fried",75g,75,129,539,19,1,5,1.5,1.0,1.0,423,9.7,69,236,20,332,3972,,15.85,420,0.6,,,,,,,,,,,,,,,,
"Liver, veal, pan-fried",75g,75,145,605,21,3,5,1.6,0.9,0.8,364,4.5,64,265,17,362,15056,0.2,54.38,263,0.5,,,,,,,,,,,,,,,,
"Thymus, veal, braised",75g,75,94,392,17,0,2,0.7,0.7,0.2,263,0.9,44,326,18,470,0,,2.14,15,0.1,,,,,,,,,,,,,,,,
"Tongue, beef, canned or pickled",75g,75,200,838,14,tr,15,7.5,6.8,0,71,1.6,55,148,11,137,0,,,4,0.3,,,,,,,,,,,,,,,,
PROCESSED MEAT PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back bacon, grilled",2 slices,47,87,364,11,1,4,1.3,1.9,0.4,27,0.4,727,183,10,139,0,0.1,0.37,2,0.2,,,,,,,,,,,,,,,,
"Bacon, pork, broiled, pan-fried or roasted",3 slices,24,130,543,9,tr,10,3.3,4.4,1.1,26,0.3,554,136,8,128,3,0.4,0.30,tr,tr,,,,,,,,,,,,,,,,
"Bacon, pork, broiled, pan-fried or roasted, reduced sodium",3 slices,24,130,543,9,tr,10,3.3,4.4,1.1,26,0.3,247,136,8,128,3,0.1,0.30,tr,0.1,,,,,,,,,,,,,,,,
"Bologna (baloney), beef and pork",2 slices,56,153,640,7,3,13,4.7,5.9,1.1,31,0.8,549,132,6,51,14,0.6,0.74,3,0.2,,,,,,,,,,,,,,,,
"Bologna (baloney), beef and pork, light",2 slices,56,129,539,6,1,11,4.1,5.1,0.9,22,0.4,620,87,7,101,0,0.4,0.73,3,0.1,,,,,,,,,,,,,,,,
"Bologna (baloney), chicken",2 slices,56,127,531,7,4,9,3.0,2.8,2.5,55,0.9,492,111,8,73,0,0.3,0.15,4,,,,,,,,,,,,,,,,,
"Chicken, canned, flaked",60mL,52,89,372,9,tr,5,1.5,2.1,1.2,32,0.8,374,135,6,58,18,0.2,0.15,2,,,,,,,,,,,,,,,,,
"Corned beef, brisket, cooked",2 slices,56,101,422,11,1,6,2.0,2.9,0.2,55,1.0,653,112,7,70,0,0.2,0.91,3,0.1,,,,,,,,,,,,,,,,
"Cottage roll, pork, lean and fat, roasted",2 slices,56,69,291,9,1,3,1.0,1.3,0.3,38,0.5,642,152,7,87,0,0.1,0.59,2,0.2,,,,,,,,,,,,,,,,
Creton,30mL,34,193,808,5,tr,19,8.3,7.7,1.6,36,0.3,129,96,6,56,1,0.3,0.19,1,0.1,,,,,,,,,,,,,,,,
"Deli meat, beef, thin sliced",4 slices,56,83,349,11,tr,4,1.6,1.7,0.2,39,1.2,791,240,11,94,0,0,1.44,6,0.1,,,,,,,,,,,,,,,,
"Deli meat, chicken breast roll",2 slices,56,75,314,8,1,4,1.4,1.6,0.8,22,0.2,494,181,10,68,0,0.3,0.13,2,tr,,,,,,,,,,,,,,,,
"Deli meat, chicken breast, low fat",2 slices,56,48,199,10,1,tr,0.1,0.1,tr,25,0.7,696,177,20,143,0,0,,,tr,,,,,,,,,,,,,,,,
"Deli meat, ham, extra lean (5% fat)",2 slices,56,62,258,10,1,2,0.5,0.7,0.2,27,0.4,619,196,10,122,0,0.1,0.42,2,0.2,,,,,,,,,,,,,,,,
"Deli meat, ham, regular (11% fat)",2 slices,56,91,382,9,2,5,1.6,2.4,0.4,32,0.6,730,161,12,86,0,0.1,0.24,4,tr,,,,,,,,,,,,,,,,
