Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIRY FOODS AND OTHER RELATED PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Folate ,Vitamin B12,Riboflavin,,,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,µg,DFE,µg,mg,,,,,,,,,,,,,,,,,,
MILK AND SUBSTITUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheddar, low fat (18% M.F.)",50g,50,141,590,14,1,,9,5.8,28,453,0.1,363,47,18,292,75,,10,0.83,0.15,,,,,,,,,,,,,,,,,,
Cottage cheese (1% M.F.),125mL,119,86,359,15,3,3,1,0.8,5,73,0.2,500,103,6,160,13,,14,0.75,0.20,,,,,,,,,,,,,,,,,,
"Cream cheese, light",30mL,30,70,294,3,2,tr,5,3.4,17,34,0.5,90,51,2,44,56,,5,0.18,0.09,,,,,,,,,,,,,,,,,,
"Cream cheese, regular",30mL,29,103,430,2,1,tr,10,6.5,32,24,0.4,87,35,2,31,108,,4,0.12,0.06,,,,,,,,,,,,,,,,,,
Edam,50g,50,179,747,12,1,1,14,8.8,45,366,0.2,483,94,15,268,122,0.5,8,0.77,0.19,,,,,,,,,,,,,,,,,,
Feta,50g,50,132,552,7,2,2,11,7.7,46,247,0.3,558,31,10,169,63,0.2,16,0.87,0.44,,,,,,,,,,,,,,,,,,
"Goat cheese, soft",50g,50,134,561,9,tr,tr,11,7.3,23,70,1.0,184,13,8,128,144,0.2,6,0.10,0.19,,,,,,,,,,,,,,,,,,
Gouda,50g,50,178,745,13,1,1,14,9.0,58,350,0.1,410,61,15,273,83,0.2,11,0.78,0.17,,,,,,,,,,,,,,,,,,
Gruyere,50g,50,207,864,15,tr,tr,16,9.5,55,506,0.1,168,41,18,303,136,0.2,5,0.80,0.14,,,,,,,,,,,,,,,,,,
Imitation cheese,50g,50,120,500,8,6,4,7,4.4,18,281,0.2,673,121,15,356,57,0,4,0.20,0.22,,,,,,,,,,,,,,,,,,
Mozzarella (22.5% M.F.),50g,50,141,588,10,1,1,11,6.8,39,269,0.1,187,34,10,186,90,0.1,4,0.33,0.13,,,,,,,,,,,,,,,,,,
"Mozzarella, partially skimmed (16.5% M.F.)",50g,50,127,531,13,1,1,8,5.2,29,323,0.1,241,42,12,239,64,0.1,5,0.41,0.16,,,,,,,,,,,,,,,,,,
"Parmesan, grated",15mL,6,27,114,2,tr,tr,2,1.1,6,70,0.1,97,8,2,46,8,tr,1,0.14,0.03,,,,,,,,,,,,,,,,,,
"Processed cheese food, thin slices",1,21,78,327,5,tr,tr,7,4.1,20,115,tr,310,35,6,107,53,tr,2,0.15,0.07,,,,,,,,,,,,,,,,,,
"Processed cheese food, thin slices, light",1,21,50,209,4,2,2,3,1.8,11,110,tr,331,69,7,173,53,tr,4,0.23,0.10,,,,,,,,,,,,,,,,,,
Processed cheese spread (Cheez WhizTM),30mL,31,90,375,5,3,,7,4.1,17,174,0.1,503,75,9,271,,0.1,2,0.12,0.13,,,,,,,,,,,,,,,,,,
"Processed cheese spread, light (Light Cheez WhizTM)",30mL,31,69,287,6,4,3,3,2.2,13,178,tr,491,107,9,317,91,,,,0.20,,,,,,,,,,,,,,,,,,
"Ricotta cheese, partly skimmed milk",125mL,131,181,756,15,7,tr,10,6.5,41,356,0.6,164,164,20,240,140,,17,0.38,0.24,,,,,,,,,,,,,,,,,,
"Romano, grated",15mL,6,25,103,2,tr,tr,2,1.1,7,67,tr,76,5,3,48,6,tr,tr,0.07,0.02,,,,,,,,,,,,,,,,,,
Swiss (Emmental),50g,50,190,795,13,3,1,14,8.9,46,396,0.1,96,39,19,284,110,0.6,3,1.67,0.15,,,,,,,,,,,,,,,,,,
"Swiss, processed, thin slices",1,21,70,291,5,tr,tr,5,3.3,18,161,0.1,285,45,6,159,41,0.2,1,0.26,0.06,,,,,,,,,,,,,,,,,,
CREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
