,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST FOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Folate ,Vitamin C,Vitamin B12,,,Thiamin,Riboflavin,Niacin,Lycopene,Beta carotene,Vitamin D,DHA,EPA,Trans fats,Monounsaturated fat,Polyunsaturated fat,Vitamin E,Caffeine,Alcohol
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,DFE,mg,µg,,,mg,mg,NE,µg,µg,µg,g,g,g,g,g,mg,mg,g
BEVERAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef and broccoli stir fry,250mL,229,266,1111,24,9,1,2.2,15,3.5,58,48,2.8,433,473,35,189,90,104,59,2.00,,,0.1,0.30,9.0,0,1080,0.4,0.00,0.00,0.4,8.0,2.7,,0,0
Chicken almond guy ding,250mL,256,295,1232,22,18,3,2.6,15,1.6,42,58,1.7,510,591,61,123,14,27,7,0.29,,,0.1,0.22,15.0,0,103,0.3,0.02,0.00,0.3,8.7,4.0,0.0,0,0
Chicken chow mein,250mL,232,200,837,21,10,7,2.2,9,1.6,51,38,1.7,982,423,35,191,17,50,8,0.26,,,0.1,0.22,11.1,0,90,0.1,0.02,0.01,0.2,4.0,2.3,0.0,0,0
Chicken fried rice,250ml,209,343,1436,12,44,1,1.3,13,1.8,99,36,1.3,797,169,28,139,59,30,4,0.42,,,0.1,0.20,4.7,0,126,0.3,0.02,tr,0.3,6.9,3.4,,0,0
Egg roll,1,64,113,472,5,9,1,0.7,6,1.2,35,14,0.8,249,121,9,53,17,27,2,0.19,,,0.2,0.13,2.4,0,35,0.1,0.01,tr,0.4,3.1,1.4,,0,0
General Tao/Tso chicken,250ml,258,806,3371,50,8,3,0.6,62,11.0,163,39,2.2,1285,476,47,340,38,13,11,0.56,,,0.1,0.32,29.5,0,10,0.5,0.07,0.02,0.8,27.1,20.0,0.0,0,tr
Hot and sour soup,250mL,258,167,697,17,5,1,0.5,8,2.8,36,45,1.8,1596,383,20,192,2,12,1,0.45,,,0.3,0.25,8.2,tr,7,0.6,0.00,0.00,0.1,3.6,1.3,0.0,0,tr
Sweet and sour chicken balls,3,75,199,831,9,17,7,0.5,10,2.7,46,24,1.0,390,90,13,23,18,19,1,0.17,,,0.1,0.12,5.1,0,0,0.1,0.02,0.01,1.4,4.1,2.3,0.0,0,0
Won ton soup,250mL,255,191,798,15,15,1,1.0,7,2.4,53,37,1.8,810,339,23,159,74,55,2,0.49,,,0.4,0.27,7.9,0,672,0.3,0.01,tr,0.1,3.2,1.0,0.0,0,0
PIZZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza with cheese (medium - 12 inches),  1/6 ,84,210,880,9,25,2,1.5,8,3.4,14,171,2.0,515,180,19,161,32,70,4,0.13,,,0.2,0.25,4.3,4535,74,0.1,0.00,0.00,0.8,2.9,1.1,2.2,0,0
Pizza with cheese and pepperoni (medium - 12 inches),  1/6 ,85,219,916,11,23,1,1.4,9,4.2,21,187,1.7,340,157,18,182,37,74,2,0.20,,,0.2,0.27,4.8,3334,57,0.1,0.00,0.00,0.6,3.4,0.9,2.0,0,0
Pizza with cheese and vegetables (medium - 12 inches),  1/6 ,93,193,809,8,24,3,1.8,7,3.0,12,154,1.9,482,201,19,147,31,63,11,0.11,,,0.2,0.24,4.1,3904,93,0.1,0.00,0.00,0.7,2.9,1.0,1.9,0,0
"Pizza with cheese, meat and vegetables (medium - 12 inches)",  1/6 ,105,250,1044,11,24,3,1.9,12,4.8,24,159,2.1,629,237,21,168,31,65,11,0.24,,,0.2,0.26,5.2,3977,95,0.2,0.00,0.00,0.8,5.1,1.4,2.0,0,0
OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken, breaded and fried (pieces)",2 pieces,98,283,1184,22,9,0,0.3,17,4.6,85,20,1.3,286,181,20,151,0,,0,0.27,,,0.1,0.19,0.0,,0,0.0,0.00,0.00,1.2,6.8,3.7,,0,0
"Chicken, breaded and fried, boneless (nuggets)",6,96,285,1192,15,16,1,0.9,18,3.9,53,13,0.8,551,251,24,277,5,14,1,0.32,,,0.1,0.20,8.5,0,0,,0.00,0.00,,7.7,5.1,,0,0
Chili con carne,250ml,267,270,1128,26,23,,4.9,9,3.6,142,72,5.5,1064,730,48,209,88,59,2,1.20,,,0.1,1.20,7.8,,1051,0.4,,,0.0,3.6,0.6,,0,0
Corndog (PogoTM),1,175,460,1925,17,56,,2.6,19,5.2,79,102,6.2,973,263,18,166,60,134,0,0.44,,,0.3,0.70,6.7,,76,1.2,,,0.6,9.1,3.5,,0,0
"Hot-dog, plain",1,98,242,1012,10,18,,0.9,15,5.1,44,24,2.3,670,143,13,97,0,61,tr,0.51,,,0.2,0.27,5.2,,0,0.6,,,0.5,6.9,1.7,,0,0
