,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 Edition",,,,,,,,,,,,,,,,,,,,,,,
SWEETS AND SUGARS,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Vitamin B12,Caffeine,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,µg,mg,,
"SUGAR, HONEY AND SUBSTITUTIONS",,,,,,,,,,,,,,,,,,,,,,,
"Topping or spread, butterscotch",30mL,42,105,438,1,27,,0.4,tr,tr,tr,22,0.1,145,35,3,20,11,tr,0.04,0,,
"Topping, strawberry",30mL,43,110,458,tr,29,12,0.3,tr,tr,0,3,0.1,9,22,2,2,tr,6,0,0,,
CANDIES,,,,,,,,,,,,,,,,,,,,,,,
Butterscotch,1 piece,5,21,87,tr,5,4,0,tr,0.1,tr,tr,tr,21,0,tr,tr,1,0,0,0,,
"Candy, chocolate covered, sweetened with sorbitol", 1 piece,5,29,120,1,2,1,0.2,2,1.1,1,15,0.1,5,30,5,17,3,tr,0.04,tr,,
Caramel,4,40,154,646,2,31,26,0.5,3,2.7,3,56,0.1,99,86,7,46,tr,tr,0,0,,
Chewing gum,1 stick,3,7,31,0,2,2,0.1,tr,tr,0,0,0,tr,0,0,0,0,0,0,0,,
"Chewing gum, sugarless",1 stick,2,5,22,0,2,0,tr,tr,tr,0,tr,0,tr,0,0,0,0,0,0,0,,
Fruit leather,1 roll,14,52,217,tr,12,7,0.5,tr,0.1,0,4,0.1,44,41,3,4,1,17,0,0,,
"Fudge, chocolate, homemade",1 piece,17,70,292,tr,13,13,0.3,2,1.0,2,8,0.3,8,22,6,12,7,0,0.02,1,,
"Fudge, vanilla, homemade",1 piece,22,84,353,tr,18,18,0,1,0.6,3,7,tr,11,10,1,6,10,0,0.02,0,,
Gumdrops,10 gumdrops,36,143,596,0,36,21,tr,0,0,0,1,0.1,16,2,tr,tr,0,0,0,0,,
Hard candy,1,6,24,99,0,6,4,0,tr,0,0,tr,tr,2,0,tr,tr,0,0,0,0,,
"Hard candy, reduced sugar",1,3,11,47,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jellybeans,10 beans,28,105,439,0,26,20,0.1,tr,0,0,1,tr,14,10,1,1,0,0,0,0,,
"Licorice, strawberry (TwizzlersTM)",3 strips,38,132,553,1,30,15,0,1,0,0,0,0.2,108,,,,0,0,0,0,,
Marshmallows,1,7,23,96,tr,6,4,tr,tr,tr,0,tr,tr,6,0,tr,1,0,0,0,0,,
Sesame crunch,4 pieces,35,181,757,4,18,11,2.8,12,1.6,0,229,1.5,58,113,88,148,0,tr,0,0,,
SkittlesTM,10 candies,11,43,181,tr,10,8,0,tr,0.1,0,0,tr,2,1,tr,tr,0,7,0,0,,
Toffee,1 piece,12,67,281,tr,8,8,0,4,2.5,12,4,tr,16,6,tr,4,38,tr,0.01,0,,
CHOCOLATE BARS,,,,,,,,,,,,,,,,,,,,,,,
"Almonds, chocolate covered",10,32,180,752,4,15,12,1.4,12,4.8,4,64,0.8,16,,,,0,0,,,,
"Caramel coated cookies, chocolate covered (TwixTM)",1 package,58,289,1210,3,38,28,0.6,14,5.2,3,52,0.5,112,110,19,63,13,tr,0.17,2,,
"Caramel with nuts, chocolate covered (TurtlesTM)",2,28,132,550,3,17,12,1.2,6,1.3,0,22,0.5,7,125,23,46,12,tr,0,5,,
"Caramel, chocolate covered (RoloTM, CaramilkTM)",1 bar,52,246,1031,3,35,33,0.5,11,7.5,6,75,0.2,98,98,0,37,18,tr,0.14,2,,
"Chocolate covered wafer (Kit KatTM, Coffee CrispTM)",1 bar,42,218,910,3,27,20,0.4,11,7.5,5,53,0.4,23,97,16,57,10,0,0.24,6,,
"Chocolate malt-nougat and caramel, chocolate covered (MarsTM)",1 bar,58,245,1026,3,42,35,1.0,9,4.5,8,75,0.4,139,140,20,84,10,1,0.19,5,,
"Chocolate, candy coated (M&M'STM , SmartiesTM)",1 package,142,713,2985,7,97,89,3.8,33,20.5,21,165,1.7,97,416,65,236,55,1,0.41,,,
"Chocolate, semisweet, bars or chips",60mL,43,204,853,2,27,23,2.5,13,7.6,0,14,1.3,5,156,49,56,0,0,0,26,,
"Coconut candy, chocolate covered (BountyTM, Almond JoyTM)",1 bar,49,235,981,2,29,24,2.5,13,8.6,2,31,0.6,70,124,,55,,tr,,,,
"Fondant, chocolate covered (After EightTM)",2 pieces,16,59,246,tr,13,11,0.3,2,1.3,0,4,0.3,2,,,,tr,0,,,,
"Fudge, caramel and nuts, chocolate covered (Oh Henry!TM)",1 bar,63,289,1208,5,41,31,1.3,14,4.2,6,51,0.4,144,203,32,88,6,tr,0.13,3,,
Milk chocolate and crisped rice (Nestle CrunchTM),1 bar,40,209,873,2,26,22,1.0,11,6.1,5,68,0.2,53,138,23,81,8,tr,0.15,10,,
