,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Dennys,Nachos,1150,49,0,2080,138,11
,,Dennys,Meat Lover's Scramble,1130,66,0.5,3180,80,12
,,Dennys,Bacon Cheddar Burger,1100,72,3.5,2660,55,12
,,Dennys,Fish & Chips (French Fries),1080,49,0,1650,117,0
,,Dennys,Strips and Sticks,1070,73,0,2110,112,16
,,Dennys,Captains Platter,1070,60,5,2030,91,6
,,Dennys,Fabulous French Toast Platter (3 slices),1010,52,0,2000,93,16
,,Dennys,Country Fried Steak,1000,65,5,2580,54,1
,,Dennys,Three Meat Breakfast Complete,1000,54,0,2760,76,5
,,Dennys,Southwestern Sizzlin Skillet,990,61,0,2120,71,10
,,Dennys,Grilled Chicken Sandwich w/honey mustard dressing,970,58,0,2070,69,25
,,Dennys,Hot Fudge Brownie a la mode,970,45,0,610,139,106
,,Dennys,French Toast Slam,940,53,0,1820,68,14
,,Dennys,Spicy Buffalo Chicken Melt,940,46,0,3870,81,2
,,Dennys,Crispy Chicken Sandwich,940,42,0,2690,96,17
,,Dennys,Mushroom Swiss Chop'd Steak w/gravy,930,75,1,1930,18,4
,,Dennys,T-bone Steak & Breaded Shrimp Dinner,930,64,0,1490,20,5
,,Dennys,Classic Burger w/Cheese,930,58,3,2190,56,13
,,Dennys,Chicken Ranch Melt,920,42,0,2800,79,2
,,Dennys,Mushroom Swiss Burger,900,54,3,2140,59,14
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Earls,Hickory Back Ribs and Cajun Chicken Combo – Full (no sides),1704,114.2,0,3994,54,
,,Earls,Penne Alfredo,1521,107.6,0,2360,104,
,,Earls,Jeera Chicken Curry,1349,55.2,0.1,2063,156,
,,Earls,Italia Roma Pizza,1206,63.2,1,3175,98,
,,Earls,Steak Frites (no sides),1200,59.3,0,1553,112,0
,,Earls,Prawn and Scallop Linguini,1192,65.4,0.2,1993,97,
,,Earls,The Bronx Burger (no sides),1170,64.4,1.9,2763,80,11
,,Earls,Braised Hickory Back Ribs (no sides),1164,78,0,2958,49,
,,Earls,California Prawn Pesto Pizza,1136,51.2,1.1,2099,101,9.2
,,Earls,Hot Chicken Caesar Salad with Dressing,1120,76.8,0,1531,50,3
,,Earls,Mediterranean Linguini with Chicken,1093,54,0.4,2265,98,7
,,Earls,Hunan Kung Pao,1003,42.1,0,3324,138,
,,Earls,Bacon Cheddar Half-Pound Burger (no sides),980,68.1,0,1105,29,
,,Earls,Warm Spinach and Feta Dip,942,49,1,2066,89,7
,,Earls,One Pound Wings,922,50.2,0,2155,5,
,,Earls,Vanilla Bean Gelato Sundae,899,39.5,0,293,127,
,,Earls,Santa Fe Chicken Salad with Dressing,880,44.1,0.4,2100,73,
,,Earls,Pecan Chicken Maple Spinach Salad with Dressing,869,57.7,0.6,1624,34,23
,,Earls,Blackened 12 oz. New York Striploin (no sides),853,56.6,1.9,1185,6,0.6
,,Earls,Hickory Back Ribs and Cajun Chicken Combo – Half (mo sides),852,57.1,0,1997,27,
,,Earls,Santa Fe Chicken Salad with No Dressing,852,41.1,0.4,2083,73,
,,Earls,Peppercorn 9 oz. Angus Beef Top Sirloin (no sides),848,52.8,0.2,3498,31,10
,,Earls,Smoked Salmon and Tuna Roll,848,30,0.6,2160,118,
,,Earls,Earls Bigger Better Half-Pound Burger (no sides),782,40,1.5,995,52,
,,Earls,Earl's 8 oz. Fries – Yukon Gold,775,41.8,0,741,90,
,,Earls,Naples Margherita Pizza,748,25.1,0,1654,96,2.8
,,Earls,Mediterranean Flatbread Duo,746,37,0,1354,87,
,,Earls,Grilled Chicken Clubhouse (no sides),740,42.7,1.3,1659,39,
,,Earls,New York Style Cheesecake,730,49,0,530,59,
,,Earls,Parmesan Chicken Rocket Salad with Dressing,708,40.4,0.4,1157,39,0.5
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Eastside Marios,Full Rack Back Ribs (no side choice),2200,174,0,4040,29,20
,,Eastside Marios,Scallop Carbonara,1390,78,0.5,2890,92,7
,,Eastside Marios,Mario’s Nachos (no dips),1250,61,1.5,2590,111,4
,,Eastside Marios,Spaghettini with Mushrooms,1220,92,0,1090,91,7
,,Eastside Marios,Funnel Cake,1210,55,0,1140,172,56
,,Eastside Marios,Chicken Wings (no sauce, no carrots/celery or blue cheese),1140,78,0,1770,31,9
,,Eastside Marios,Half Rack Back Ribs (no side choice),1110,87,0,2070,17,12
,,Eastside Marios,Linguine Chicken Amatriciana,1100,56,0,1760,100,12
,,Eastside Marios,Vernazza Peppercorn Alfredo (no crustini),1050,56,0.5,1510,97,7
,,Eastside Marios,Orecchiette Genovese Alfredo,1050,56,0.5,1400,92,9
,,Eastside Marios,Linguine Chicken Tettrazini,1040,54,0.5,1520,94,10
,,Eastside Marios,Sizzling Calamari Al Diavolo,1010,53,0,3420,89,13
,,Eastside Marios,Portobello Panini,970,79,0.5,1470,58,7
,,Eastside Marios,Sausage and Pepper Penne,970,44,0,2490,112,16
,,Eastside Marios,Peanut Butter Stacker,950,55,0.5,150,106,57
,,Eastside Marios,Cheese Cappelletti,950,33,0.5,2590,115,12
,,Eastside Marios,Spinach & Ricotta Milanese,950,19,0.3,1050,101,10
,,Eastside Marios,1/2  Rotisserie Chicken (no side choice or dipping sauce),930,74,0.5,2680,4,0
,,Eastside Marios,Roasted Chicken & Provolone Panini,910,64,0,1760,49,1
,,Eastside Marios,Double Chocolate Explosion - Rest of Country,910,57,1.5,570,93,66
,,Eastside Marios,Firecracker Shrimp Penne,910,39,0,1880,100,6
,,Eastside Marios,Spaghettini and Meatballs,910,34,0,2690,116,19
,,Eastside Marios,Philly Cheesesteak ( Ontario, Quebec and East ),890,51,1,1460,57,2
,,Eastside Marios,Double Chocolate Explosion - Ontario,850,58,1,460,86,65
,,Eastside Marios,Budda Boomers,850,52,0.5,1560,75,2
,,Eastside Marios,Chicken Caesar Piadini,850,39,0,1780,82,6
,,Eastside Marios,Budda Bingers,840,32,0.4,1210,130,8
,,Eastside Marios,Grilled Portobello Mushroom & Spinach Piadini,810,45,0,1640,91,9
,,Eastside Marios,Spaghettini Primavera,810,32,0,1010,108,8
,,Eastside Marios,Tuscan Chicken Piadini,790,26,0,1660,99,10
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Edo Japanese,Sukiyaki Beef Bento (No Teriyaki),900,28,1,490,120,6
,,Edo Japanese,Chicken and Beef Bento (No Teriyaki),880,26,0,1260,120,6
,,Edo Japanese,Teriyaki Chicken Bento (No Teriyaki),870,24,0,1240,120,6
,,Edo Japanese,Seafood Grill Bento (No Teriyaki),860,16,0,1270,129,6
,,Edo Japanese,Beef Yakisoba Bento (No Teriyaki),830,30,1,1280,102,6
,,Edo Japanese,Chicken Yakisoba Bento (No Teriyaki),800,25,0,1580,102,6
,,Edo Japanese,Sizzling Shrimp Bento (No Teriyaki),800,16,0,1530,122,6
,,Edo Japanese,Beef and Shrimp Teriyaki (No Sauce),690,19,1,1170,82,5
,,Edo Japanese,Tropical Teriyaki (No Sauce),670,15,0,1210,87,11
,,Edo Japanese,Chicken and Shrimp Teriyaki (No Sauce),660,15,0,1210,82,5
,,Edo Japanese,Ginger Pork Teriyaki (No Sauce),650,23,0,920,82,6
,,Edo Japanese,Sukiyaki Beef Teriyaki (No Sauce),610,16,1,810,80,4
,,Edo Japanese,Chicken and Beef Teriyaki (No Sauce),590,14,0,830,80,4
,,Edo Japanese,Hawaiian Chicken Teriyaki (No Sauce),590,12,0,850,85,9
,,Edo Japanese,Beef Udon Soup,580,17,1,3370,72,6
,,Edo Japanese,Teriyaki Chicken (No Sauce),580,12,0,850,80,4
,,Edo Japanese,Seafood Grill Teriyaki (No Sauce),570,4,0,840,89,4
,,Edo Japanese,Chicken Udon Soup,550,13,0,3440,72,6
,,Edo Japanese,Beef Yakisoba Teriyaki (No Sauce),540,18,1,1150,62,4
,,Edo Japanese,Chicken Yakisoba Teriyaki (No Sauce),510,14,0,1190,62,4
,,Edo Japanese,Sizzling Shrimp Teriyaki (No Sauce),510,5,0,1110,82,4
,,Edo Japanese,Curry Chicken Bowl Teriyaki (No Sauce),500,21,1,1510,27,2
,,Edo Japanese,Shrimp Udon Soup,480,5,0,3630,74,6
,,Edo Japanese,Rice Side Dish,480,1,0,580,106,0
,,Edo Japanese,California Roll,430,17,0,310,61,1
,,Edo Japanese,Yakisoba Side Dish,430,4,0,1230,89,0
,,Edo Japanese,Fresh Grilled Vegetables Teriyaki (No Sauce),380,1,0,980,81,3
,,Edo Japanese,Vegetable Udon Soup,370,2,0,3250,77,8
,,Edo Japanese,Extra Beef,260,15,1,490,3,3
,,Edo Japanese,Extra Chicken,220,11,0,560,3,3
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Extreme Pita,Meatball (reg),751,33.5,0.5,1975,60,9
,,Extreme Pita,Chicken Souvlaki (reg),612,25.5,0,1428,59,6
,,Extreme Pita,Mandarin Chicken (reg),605,20.2,0,1460,71,22
,,Extreme Pita,Fiesta Mexicana (reg),597,17.8,0.3,2505,64,11
,,Extreme Pita,Bourbon Chipotle Chicken (reg),590,17.7,0.4,1485,69,18
,,Extreme Pita,Rustic Italian (reg),559,23.8,0.1,1940,56,3
,,Extreme Pita,Gyro (reg),547,25.4,0,1029,58,3
,,Extreme Pita,Philly Cheese Steak (reg),530,15.4,0,1075,58,3
,,Extreme Pita,Bourbon Chipotle Chicken,521,12.6,0,1364,64,19
,,Extreme Pita,Thai Beef (reg),517,8.8,0.1,1773,72,19
,,Extreme Pita,Meatball (small),505,22.1,0.3,1327,42,3
,,Extreme Pita,Thai Beef,495,12.8,0.1,1597,63,16
,,Extreme Pita,Hawaiian Luau,478,14.1,0,1452,65,22
,,Extreme Pita,Chicken Caesar (reg),472,15.6,0,1605,49,4
,,Extreme Pita,Big Country Chicken & Steak (reg),468,9.7,0.1,1518,54,3
,,Extreme Pita,Thai Chicken (reg),465,2.8,0,1613,71,18
,,Extreme Pita,Mediterranean Chicken,464,14.5,0,1733,56,7
,,Extreme Pita,Thai Chicken,462,9,0,1498,63,15
,,Extreme Pita,Mandarin Chicken,453,21.4,0,992,39,24
,,Extreme Pita,Buffalo Chicken,451,11.5,0,1972,54,9
,,Extreme Pita,Extreme Classic,445,16.9,0,1226,52,7
,,Extreme Pita,Extreme Club (reg),442,11,0,1626,54,4
,,Extreme Pita,Rustic Italian,429,15.3,0,1577,50,7
,,Extreme Pita,Grilled Steak (reg),414,8.8,0.1,1199,54,3
,,Extreme Pita,Falafel (reg),409,9.4,0,996,69,3
,,Extreme Pita,Pepperoni Extreme,408,14.5,0,1149,51,7
,,Extreme Pita,Traditional Greek,402,30,0,1291,17,0
,,Extreme Pita,Maple Dijon Chicken (reg),389,6.2,0,1412,58,10
,,Extreme Pita,6” Cheese Flat Baked Pita,378,18.2,0.4,897,33,4
,,Extreme Pita,Mandarin Chicken (small),377,11.2,0,910,46,13
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Fatburger,Cookies & Ice Cream Shake,1180,59,0,810,163,105
,,Fatburger,Peanut Butter Shake,950,53,0,490,114,78
,,Fatburger,Maui-Banana Shake,940,44,0,350,126,99
,,Fatburger,Chocolate Shake,910,45,0,390,115,86
,,Fatburger,Vanilla Shake,890,44,0,350,113,86
,,Fatburger,Strawberry Shake,880,44,0,370,111,85
,,Fatburger,Kingburger,850,41,2.5,1490,69,12
,,Fatburger,Sausage and Egg Sandwich,780,53,0,1810,47,4
,,Fatburger,Chili Cheese Skinny Fries,600,30,0,1280,64,1
,,Fatburger,Chili Cheese Fat Fries,590,33,0,590,53,1
,,Fatburger,Fatburger,590,31,1.5,1190,46,8
,,Fatburger,Fish Sandwich,560,31,0,850,55,7
,,Fatburger,Crispy Chicken Sandwich,560,27,0,1540,53,5
,,Fatburger,Onion Rings,540,29,0,490,64,10
,,Fatburger,Spicy Chicken Sandwich,520,21,0,2160,58,11
,,Fatburger,Veggieburger,510,20,0,1560,60,10
,,Fatburger,Chili Skinny Fries,490,21,0,1100,63,1
,,Fatburger,Chili Cheese Hot Dog,480,27,1,1150,35,6
,,Fatburger,Chili Fat Fries,480,24,0,410,52,1
,,Fatburger,Turkeyburger,480,21,0,1270,50,10
,,Fatburger,Grilled Chicken Sandwich,430,14,0,860,42,5
,,Fatburger,Fatburger (no bun),410,29,1.5,890,10,4
,,Fatburger,Baby Fat,400,21,0.5,1080,37,7
,,Fatburger,Skinny Fries,390,15,0,730,58,0
,,Fatburger,Big Fat Float,390,12,0,140,73,64
,,Fatburger,Fat Fries,380,18,0,40,47,0
,,Fatburger,Bacon and Egg Sandwich,350,16,0,970,37,4
,,Fatburger,Chili Cup with Cheese and Onions,320,20,0,930,12,3
,,Fatburger,Hot Dog,320,15,1,780,32,5
,,Fatburger,Fat Salad Wedge with Chicken (no dressing),210,6,0,610,8,3
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Flying Wedge,Gusto Pesto Slice (medium pizza),2160,108,,4140,198,18
,,Flying Wedge,Classic Pepperoni Slice (medium pizza),2040,96,,4860,186,18
,,Flying Wedge,Meet Master Blaster Slice (medium pizza),1980,78,,5580,192,18
,,Flying Wedge,Hot Licks Slice (medium pizza),1920,84,,4740,198,18
,,Flying Wedge,Magellan Mania Slice (medium pizza),1860,102,,4080,144,24
,,Flying Wedge,Sausage A Trois Slice (medium pizza),1860,72,,3960,216,42
,,Flying Wedge,Pepper Dew Slice (medium pizza),1860,72,,3900,216,36
,,Flying Wedge,Wedge Deluxe Slice (medium pizza),1740,66,,3600,192,18
,,Flying Wedge,The Bacon Cheeseburger Slice (medium pizza),1740,60,,4140,216,18
,,Flying Wedge,Tropical Pig Slice (medium pizza),1740,60,,3600,198,30
,,Flying Wedge,Szechuan Chicken Slice (medium pizza),1680,42,,2520,192,18
,,Flying Wedge,Sicilian Express Slice (medium pizza),1620,84,,3660,126,6
,,Flying Wedge,The Greek Slice (medium pizza),1620,60,,3060,198,24
,,Flying Wedge,Broken Hearts Slice (medium pizza),1620,48,,3360,204,24
,,Flying Wedge,Cheesy ROM Slice (medium pizza),1500,48,,3180,192,18
,,Flying Wedge,Tuscan Garden Slice (medium pizza),1440,72,,2880,138,6
,,Flying Wedge,Rosso Bossa Nova Slice (medium pizza),1440,60,,2280,144,12
,,Flying Wedge,Veggie Wedgie Slice (medium pizza),1440,42,,2580,198,18
,,Flying Wedge,Pesto Chicken Slice (medium pizza),1260,60,,2280,126,6
,,Flying Wedge,Gusto Pesto Slice (medium slice),360,18,,690,33,3
,,Flying Wedge,Classic Pepperoni Slice (medium slice),340,16,,810,31,3
,,Flying Wedge,Meet Master Blaster Slice (medium slice),330,13,,930,32,3
,,Flying Wedge,Hot Licks Slice (medium slice),320,14,,790,33,3
,,Flying Wedge,Magellan Mania Slice (medium slice),310,17,,680,24,4
,,Flying Wedge,Sausage A Trois Slice (medium slice),310,12,,660,36,7
,,Flying Wedge,Pepper Dew Slice (medium slice),310,12,,650,36,6
,,Flying Wedge,Wedge Deluxe Slice (medium slice),290,11,,600,32,3
,,Flying Wedge,The Bacon Cheeseburger Slice (medium slice),290,10,,690,36,3
,,Flying Wedge,Tropical Pig Slice (medium slice),290,10,,600,33,5
,,Flying Wedge,Szechuan Chicken Slice (medium slice),280,7,,420,32,3
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,FreshSlice,Pepperoni 16" XL,2704,104,3.2,6560,288,48
,,FreshSlice,Hawaiian 16" XL,2440,88,3.2,6560,456,160
,,FreshSlice,Cheese 16" XL,2296,80,3.2,0,288,48
,,FreshSlice,Veggie 16" XL,2096,80,4,4880,328,48
,,FreshSlice,Pepperoni Slice,338,13,0.4,820,36,6
,,FreshSlice,Hawaiian Slice,305,11,0.4,820,57,20
,,FreshSlice,Cheese Slice,287,10,0.4,,36,6
,,FreshSlice,Veggie Slice,262,10,0.5,610,41,6
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Great Canadian Bagel,Cheddar bacon,434,11,,612,26,3
,,Great Canadian Bagel,Cheddar onion,425,9,,500,26,5
,,Great Canadian Bagel,Cheddar salsa,421,11,,873,34,4
,,Great Canadian Bagel,Banana chocolate chuck,416,18,,429,,30
,,Great Canadian Bagel,Cornmeal,415,18,,511,,27
,,Great Canadian Bagel,Cinnamon raisin swirl,404,16,,406,,28
,,Great Canadian Bagel,Chunks o' chocolate,402,17,,418,,26
,,Great Canadian Bagel,Pralines and cream,401,17,,372,,23
,,Great Canadian Bagel,Banana,394,17,,417,,31
,,Great Canadian Bagel,Morning glory,392,17,,309,,30
,,Great Canadian Bagel,Maple walnut,390,16,,387,,26
,,Great Canadian Bagel,Carrot,386,16,,209,,30
,,Great Canadian Bagel,Blueberry - flakes,386,6,,433,0,
,,Great Canadian Bagel,Orange almond,383,17,,405,,25
,,Great Canadian Bagel,Coconut cream,381,15,,363,,26
,,Great Canadian Bagel,Summer berry,380,14,,445,,26
,,Great Canadian Bagel,Strawberries and cream,377,15,,347,,22
,,Great Canadian Bagel,Double chocolate,374,16,,507,,26
,,Great Canadian Bagel,Oatmeal date delight,372,11,,365,,33
,,Great Canadian Bagel,Raspberry yogurt,371,14,,406,,22
,,Great Canadian Bagel,Oatmeal and baked apple,371,12,,357,,31
,,Great Canadian Bagel,Caramel coffeecake swirl,369,14,,351,,27
,,Great Canadian Bagel,Asiago,367,5,,499,11,3
,,Great Canadian Bagel,Blueberry Bagel,364,15,,335,,24
,,Great Canadian Bagel,Lemon swirl with poppy seeds,359,14,,369,,26
,,Great Canadian Bagel,Tomazzo (hot),359,5,,707,12,4
,,Great Canadian Bagel,Pumpkin,358,14,,285,,29
,,Great Canadian Bagel,Tomazzo,354,5,,502,12,4
,,Great Canadian Bagel,Apple cinnamon,353,3,,439,0,
,,Great Canadian Bagel,Cranberry lemon,349,14,,410,,21
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Harvey's,Kids' Cheeseburger Meal,890,32,1,1860,125,45
,,Harvey's,Poutine,840,43,1,2210,87,1
,,Harvey's,Kids' Hamburger Meal,810,26,0,1710,124,45
,,Harvey's,Kids' Chicken Strip Meal   3 Pieces,760,24,0.3,1510,113,42
,,Harvey's,Kids' Hot Dog Meal,730,22,0.5,1580,118,44
,,Harvey's,Angus Burger With Cheese & Bacon,690,35,1.5,1390,49,4
,,Harvey's,Angus Burger With Cheese,640,32,1.5,1240,49,4
,,Harvey's,Angus Burger,560,26,1,1090,47,4
,,Harvey's,Onion Rings   Large,550,29,0.3,1580,65,5
,,Harvey's,Breakfast Club Deluxe,530,28,0.4,1030,39,4
,,Harvey's,Frings,520,24,0.3,1510,69,3
,,Harvey's,Original Bacon Cheeseburger,500,26,1,1290,39,3
,,Harvey's,Original Cheeseburger,460,23,1,1130,39,3
,,Harvey's,Fries   Large,410,16,0.2,1190,61,1
,,Harvey's,Breakfast Club,400,19,0.3,750,36,4
,,Harvey's,Original Hamburger,380,16,0.4,980,37,3
,,Harvey's,Grilled Chicken Blt On Whole Wheat,340,8,0.1,970,30,7
,,Harvey's,Angus Patty,320,23,1,620,4,0
,,Harvey's,Chicken Strips   3 Pieces,320,15,0.2,780,27,0
,,Harvey's,Fries   Regular,320,13,0.1,950,49,0
,,Harvey's,Homefries,300,19,0.4,530,29,0
,,Harvey's,Hot Dog With Bun,300,13,0.4,850,32,2
,,Harvey's,Veggie Burger On Whole Wheat,290,10,0,580,33,5
,,Harvey's,Grilled Chicken On Whole Wheat,290,5,0.1,810,28,5
,,Harvey's,Onion Rings   Regular,270,15,0.2,790,33,3
,,Harvey's,Fries   Value/Kids Size,240,10,0.1,710,37,0
,,Harvey's,Warm Grilled Chicken Blt Salad,230,7,0.1,760,9,4
,,Harvey's,Original Patty By Itself,200,14,0.4,630,4,0
,,Harvey's,Toast (2 Slices White),180,2,0,320,35,2
,,Harvey's,Warm Grilled Chicken Salad,170,3,0,550,9,4
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Ihop,Big Country Breakfast,1790,110,2,3910,156,18
,,Ihop,Appetizer Sampler,1780,99,1.5,3120,163,28
,,Ihop,Country/Chicken Fried Steak & Eggs w/Sausage Gravy,1680,95,2,4050,145,14
,,Ihop,Chicken & Spinach Salad,1600,118,0.5,2340,72,15
,,Ihop,Country/Chicken Fried Steak & Eggs w/Country Gravy,1570,87,2,3710,139,13
,,Ihop,Biscuits & Gravy Combo w/Sausage Gravy,1530,103,0.5,3410,105,8
,,Ihop,Classic Skillets,1460,97,1.5,2740,102,12
,,Ihop,Crispy Chicken Salad w/Fried Chicken,1450,94,0.5,2110,93,32
,,Ihop,Biscuits & Gravy Combo w/Country Gravy,1420,95,0.5,3080,99,7
,,Ihop,Migas with Chorizo,1400,103,1,2240,59,6
,,Ihop,Chorizo & Eggs,1400,82,1.5,3160,111,17
,,Ihop,South-of-the-Border Burrito,1380,74,1,3330,130,16
,,Ihop,Sirloin Tips & Eggs,1350,76,1.5,3050,99,25
,,Ihop,Smokehouse Combo,1340,91,1.5,3180,84,11
,,Ihop,Chicken Fried Chicken & Eggs w/Sausage Gravy,1300,73,1.5,3120,107,11
,,Ihop,Create Your Own Viva La French Toast Combo, CINN-A-STACK,1300,73,1,1580,121,39
,,Ihop,Machaca,1270,90,1,2110,60,7
,,Ihop,Crispy Chicken Salad w/Grilled Chicken,1260,90,0,2430,59,32
,,Ihop,All you Can Eat Combo – Ultimate Bacon & Sausage Combo,1260,83,1.5,2760,83,10
,,Ihop,Monster Bacon’N Beef Cheeseburger w/Bacon Patty,1250,85,3.5,1590,44,8
,,Ihop,Onion Rings,1250,69,1,1110,140,18
,,Ihop,T-Bone Steak & Eggs,1250,68,2,2840,74,13
,,Ihop,Chicken Fried Chicken & Eggs w/Country Gravy,1240,69,1.5,2950,105,10
,,Ihop,All you Can Eat Combo – Sausage & Eggs Combo,1230,83,1.5,2450,82,10
,,Ihop,Crispy Chicken Strips & Fries,1230,67,0.5,1330,117,15
,,Ihop,Big Steak Omelette,1220,82,1,2270,54,9
,,Ihop,Cinnamon Swirl French Toast Combo,1210,75,1,1370,102,16
,,Ihop,All you Can Eat Combo – Buttermilk Popcorn Shrimp & Fries,1210,67,1,3860,121,12
,,Ihop,Create Your Own Viva La French Toast Combo, Strawberry Banana,1210,66,1,1480,116,25
,,Ihop,Create Your Own Viva La French Toast Combo, Blueberry,1200,66,1,1510,112,28
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Ikea,Prinsesstarta Princess Cake - 1/6 of the cake,230,12,,,29,
,,Ikea,Almondy - Almond Torte - 1/8 of torte,220,11,,,24,
,,Ikea,Cinnamon Roll - 1/2 cinnamon bun,200,7,,,31,
,,Ikea,Pepparkakor - Swedish Ginger Christmas Cookie (3),140,5,,,21,
,,Ikea,Torkat Crackers - 1/2 Cracker,130,1,,,21,
,,Ikea,Wholemeal Cookies,120,3.5,,,21,
,,Ikea,Knackebrod - Large Round Crispbread - 1 slice,40,1,,,10,
,,Ikea,Lingonberry Sauce,15,,,,,
,,Ikea,Pasta Elks,,,,,,
,,Ikea,Panzarotti Pizza Pocket,,,,,,
,,Ikea,Shell-On Prawns,,,,,,
,,Ikea,Gravad Lox (Smoked Salmon),,,,,,
,,Ikea,Pytt I Panna - Mixed Vegetables,,,,,,
,,Ikea,Wastgota Kloster - Cheese,,,,,,
,,Ikea,Non Fat Frozen Yogurt - Vanilla,,,,,,
,,Ikea,Swedish Meatballs,,,,,,
,,Ikea,Watermelon Fruit Full Popsicle,,,,,,
,,Ikea,Blueberry Preserves,,,,,,
,,Ikea,Cream Sauce Mix,,,,,,
,,Ikea,Graddsas (Cream Sauce),,,,,,
,,Ikea,Milk Chocolate Bar,,,,,,
,,Ikea,Queens Blend Jam,,,,,,
,,Ikea,Swedish Lingonberry Preserves,,,,,,
,,Ikea,Original Lantchips,,,,,,
,,Ikea,Sweet Oat Crisps,,,,,,
,,Ikea,Double Chocolate Crisps,,,,,,
,,Ikea,Hallakaka Bread (Soft Arctic Cake),,,,,,
,,Ikea,Havreflarn - Sweet Oat Cookies,,,,,,
,,Ikea,Kakor Chokladflarn - Oat Cookies With Chocolate Filling,,,,,,
,,Ikea,Lingonberry Juice,,,,,,
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Jamba Juice,Peanut Butter Mood - Original,770,20,0,490,125,108
,,Jamba Juice,Berried N Chocolate - Power,750,10,0,340,154,130
,,Jamba Juice,Mocha Mojo - Power,680,3,0,430,142,122
,,Jamba Juice,Matcha Green Tea Blast - Power,590,0,0,320,127,114
,,Jamba Juice,Strawberry Surf Rider - Power,580,2,0,15,140,126
,,Jamba Juice,Chunky Strawberry Topper - Sixteen,570,17,0,180,92,54
,,Jamba Juice,Chocolate Mood - Original,570,5,0,380,116,103
,,Jamba Juice,Banana Berry - Power,560,2,0,160,131,115
,,Jamba Juice,Mango-a-Go-Go - Power,550,2.5,0,65,129,117
,,Jamba Juice,Aloha Pineapple - Power,550,2,0,70,130,123
,,Jamba Juice,Strawberry Energizer - Power,540,2,0,35,128,113
,,Jamba Juice,Chunky Strawberry Topper - Twelve,520,17,0,160,82,46
,,Jamba Juice,Acai Super-Antioxidant - Power,520,7,0,105,107,92
,,Jamba Juice,Berried N Chocolate - Original,520,6,0,230,108,91
,,Jamba Juice,Razzmatazz - Power,520,2.5,0,75,121,100
,,Jamba Juice,Pomegranate Pick-Me-Up - Power,510,2.5,0,70,120,105
,,Jamba Juice,Mocha Mojo - Original,510,1.5,0,330,107,91
,,Jamba Juice,Strawberries Wild - Power,510,0.5,0,210,118,104
,,Jamba Juice,The Coldbuster - Power,500,3,0,40,116,100
,,Jamba Juice,Acai Topper - Sixteen,490,10,0,40,96,57
,,Jamba Juice,Caribbean Passion - Power,490,2,0,70,112,101
,,Jamba Juice,Peach Pleasure - Power,490,2,0,65,114,96
,,Jamba Juice,Protein Berry Workout - Power,490,1,0,180,99,81
,,Jamba Juice,Blackberry Bliss - Power,480,2,0,50,113,
,,Jamba Juice,Peanut Butter Mood - Sixteen,470,10,0,310,82,71
,,Jamba Juice,Mango Peach Topper - Sixteen,470,8,0,115,90,55
,,Jamba Juice,Orange Dream Machine - Original,470,2,0,210,102,93
,,Jamba Juice,Berry Topper - Sixteen,460,9,0,115,85,50
,,Jamba Juice,Acai Topper - Twelve,440,10,0,40,84,48
,,Jamba Juice,Vibrant Blueberry Smoothie - Power,440,0.5,0,320,86,72
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Jimmy The Greek,Roast Lamb, Small Salad, Rice, Roast Potatoes,1019,60.5,1,2180,60,1.7
,,Jimmy The Greek,Pork Souvlaki, Small Salad, Rice, Roast Potatoes,847,42.5,1,1375,60,1.7
,,Jimmy The Greek,Gyros, Small Salad, Rice, Roast Potatoes,799,48,1,1807,67,2.7
,,Jimmy The Greek,Roast lamb, Large Salad,752,53.6,0.2,1663,14,0
,,Jimmy The Greek,Pork Souvlaki, Pita, Small Salad,688,34.5,0,781,214,1.7
