"MENU ITEMS","Serving Size (g)","Calories (kcal)","Total Fat (g)","Saturated Fat (g)","Trans Fat (g)","Cholesterol (mg)","Sodium (mg)","Carbohydrate (g)","Dietary Fibre (g)","Sugars (g)","Protein (g)","Vitamin A (%DV)","Vitamin C (%DV)","Calcium (%DV)","Iron (%DV)","Restaurant"
"Cappuccino, 2% Milk","591","150","6","3","0","25","135","16","0","14","10","10","0","35","0","Starbucks"
"Cappuccino, Soymilk US","591","160","4.5","0.5","0","0","110","20","1","15","9","10","0","35","10","Starbucks"
"Iced Brewed Coffee (With Classic Syrup), No Milk","709","130","0","0","0","0","5","31","0","31","0","0","0","0","0","Starbucks"
"Iced Brewed Coffee (With Classic Syrup), Nonfat Milk","709","160","0","0","0","0","50","36","0","36","4","4","0","15","0","Starbucks"
"Iced Brewed Coffee (With Classic Syrup), 2% Milk","709","180","2","1","0","10","55","36","0","36","4","4","0","15","0","Starbucks"
"Iced Brewed Coffee (With Classic Syrup), Soymilk US","709","180","1.5","0","0","0","45","38","0","36","3","4","0","15","4","Starbucks"
"Tazo® Shaken Iced Tea (With Classic Syrup), ","709","120","0","0","0","0","0","31","0","31","0","0","0","0","0","Starbucks"
"Tazo® Shaken Iced Tea Lemonade (With Classic Syrup), ","709","190","0","0","0","0","0","49","0","49","0","0","20","0","0","Starbucks"
"Berry Hibiscus Refresher, ","709","100","0","0","0","0","0","25","1","22","0","0","170","0","2","Starbucks"
"Cool Lime Refresher, ","709","90","0","0","0","0","0","23","0","22","0","0","180","0","0","Starbucks"
"Frappuccino® Blended Coffee, Coffee, Nonfat Milk","709","310","0","0","0","5","300","70","0","69","6","6","0","20","0","Starbucks"
"Frappuccino® Blended Coffee, Coffee, Whole Milk","709","350","5","3","0","15","300","70","0","69","5","6","0","20","0","Starbucks"
"Frappuccino® Blended Coffee, Coffee, Soymilk US","709","330","2.5","0","0","0","300","73","1","70","5","6","0","20","6","Starbucks"
"Frappuccino® Blended Coffee, Mocha (Without Whipped Cream), Nonfat Milk","709","340","1","0.5","0","5","300","80","1","76","7","6","0","20","8","Starbucks"
"Frappuccino® Blended Coffee, Mocha (Without Whipped Cream), Whole Milk","709","390","6","3.5","0","15","300","80","1","76","6","4","0","20","8","Starbucks"
"Frappuccino® Blended Coffee, Mocha (Without Whipped Cream), Soymilk US","709","370","3.5","1","0","0","290","82","2","77","6","6","0","20","15","Starbucks"
"Frappuccino® Blended Coffee, Caramel (Without Whipped Cream), Nonfat Milk","709","330","0","0","0","5","290","78","0","77","5","6","0","20","0","Starbucks"
"Frappuccino® Blended Coffee, Caramel (Without Whipped Cream), Whole Milk","709","370","5","3","0","15","300","78","0","77","5","4","0","15","0","Starbucks"
"Frappuccino® Blended Coffee, Caramel (Without Whipped Cream), Soymilk US","709","360","2.5","0","0","0","290","80","1","77","5","6","0","20","6","Starbucks"
"Frappuccino® Blended Coffee, Java Chip (Without Whipped Cream), Nonfat Milk","709","420","5","4","0","5","340","90","2","84","7","6","0","20","25","Starbucks"
"Frappuccino® Blended Coffee, Java Chip (Without Whipped Cream), Whole Milk","709","460","10","7","0","15","340","90","2","84","7","4","0","20","25","Starbucks"
"Frappuccino® Blended Coffee, Java Chip (Without Whipped Cream), Soymilk US","709","450","8","4.5","0","0","330","92","3","85","6","6","0","20","30","Starbucks"
"Frappuccino® Light Blended Coffee, Coffee, Nonfat Milk","709","160","0","0","0","5","270","33","0","32","5","6","0","15","0","Starbucks"
"Frappuccino® Light Blended Coffee, Mocha, Nonfat Milk","709","190","1","0.5","0","5","250","41","1","38","6","6","0","15","8","Starbucks"
"Frappuccino® Light Blended Coffee, Caramel, Nonfat Milk","709","190","0","0","0","5","260","40","0","40","5","6","0","15","0","Starbucks"
"Frappuccino® Light Blended Coffee, Java Chip, Nonfat Milk","709","260","5","3.5","0","5","300","51","2","46","7","6","0","15","25","Starbucks"
"Frappuccino® Crème, Strawberries & Crème (Without Whipped Cream), Nonfat Milk","709","310","0","0","0","5","260","70","0","69","6","8","8","25","2","Starbucks"
"Frappuccino® Crème, Strawberries & Crème (Without Whipped Cream), Whole Milk","709","350","6","3","0","15","260","70","0","68","6","6","8","20","2","Starbucks"
"Frappuccino® Crème, Strawberries & Crème (Without Whipped Cream), Soymilk US","709","340","3","0","0","0","250","73","1","69","5","8","8","20","8","Starbucks"
"Frappuccino® Crème, Vanilla Bean (Without Whipped Cream), Nonfat Milk","709","320","0","0","0","5","300","73","0","71","7","8","0","25","0","Starbucks"
"Frappuccino® Crème, Vanilla Bean (Without Whipped Cream), Whole Milk","709","370","7","4","0","20","300","73","0","71","6","6","0","25","0","Starbucks"
"Frappuccino® Crème, Vanilla Bean (Without Whipped Cream), Soymilk US","709","350","3","0","0","0","290","76","1","72","6","8","0","25","6","Starbucks"
"Frappuccino® Crème, Double Chocolaty Chip (Without Whipped Cream), Nonfat Milk","709","350","5","4","0","5","340","71","2","66","9","8","0","25","25","Starbucks"
"Frappuccino® Crème, Double Chocolaty Chip (Without Whipped Cream), Whole Milk","709","400","12","8","0","20","340","71","2","65","8","6","0","25","25","Starbucks"
"Frappuccino® Crème, Double Chocolaty Chip (Without Whipped Cream), Soymilk US","709","380","8","4.5","0","0","330","74","3","66","7","8","0","25","30","Starbucks"
"Frappuccino® Crème, Green Tea (Without Whipped Cream), Nonfat Milk","709","390","0","0","0","5","300","88","2","87","8","10","15","25","4","Starbucks"
"Frappuccino® Crème, Green Tea (Without Whipped Cream), Whole Milk","709","440","7","4","0","20","300","88","2","86","7","8","15","25","4","Starbucks"
"Frappuccino® Crème, Green Tea (Without Whipped Cream), Soymilk US","709","420","3.5","0","0","0","290","91","2","87","7","10","15","25","10","Starbucks"
"Tazo® Tea, ","591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Starbucks"
"Tazo® Chai Tea Latte, Nonfat Milk","591","260","0","0","0","5","135","57","0","54","10","10","0","35","2","Starbucks"
"Tazo® Chai Tea Latte, 2% Milk","591","310","6","3","0","25","150","56","0","53","10","10","2","35","2","Starbucks"
"Tazo® Chai Tea Latte, Soymilk US","591","310","4.5","0.5","0","0","115","60","1","54","8","10","0","35","10","Starbucks"
"Tazo® Green Tea Latte, Nonfat Milk","591","370","0.5","0","0","10","200","73","2","71","18","20","20","60","4","Starbucks"
"Tazo® Green Tea Latte, 2% Milk","591","450","10","5","0","40","230","72","2","71","17","20","20","60","4","Starbucks"
"Tazo® Green Tea Latte, Soymilk US","591","450","8","1","0","0","180","79","4","72","14","20","20","60","20","Starbucks"
"Tazo® Full-Leaf Tea Latte, Nonfat Milk","591","190","0","0","0","5","110","39","0","39","9","10","0","30","0","Starbucks"
"Tazo® Full-Leaf Tea Latte, 2% Milk","591","230","5","2.5","0","20","125","38","0","38","9","10","0","30","0","Starbucks"
"Tazo® Full-Leaf Tea Latte, Soymilk US","591","240","4","0.5","0","0","100","42","1","39","7","10","0","30","8","Starbucks"
"Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos), Nonfat Milk","591","190","0","0","0","5","110","39","0","39","9","10","0","30","0","Starbucks"
"Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos), 2% Milk","591","230","5","2.5","0","20","125","38","0","38","9","10","0","30","0","Starbucks"
"Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos), Soymilk US","591","240","4","0.5","0","0","100","42","1","39","7","10","0","30","8","Starbucks"
